hits,feedstock,technology,end_point_id,X_coords,Y_coords,capacity,percent_full,original_feedstock_tonnes,tonnes_contributed,tonnes_still_needed,remaining_feedstock_tonnes,start_point_id,service_area_(ha),Arterial_Road_(m),Interchange_(m),Main_Road_(m),National_Freeway_(m),National_Road_(m),None_(m),On/OffRamp_(m),Other_Road_(m),Secondary_Road_(m),Street_(m),Virtual_road_(m)
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,57.264,2.0033,2.003,10256.692,0,W31A100813,0.15,0,0,1677.564973204263,0,0,0,0,0,0,0,489.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,57.459,46.8566,46.857,10209.835,0,W31A101229,22.96,0,0,3614.4956196501103,0,0,0,0,0,0,0,707.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,57.642,43.964200000000005,43.964,10165.871,0,W31A100579,6.24,0,0,3614.4956196501103,0,0,0,0,0,0,0,707.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,57.721,18.8554,18.855,10147.016,0,W31A100816,0.83,0,0,4640.786454371394,0,0,0,0,0,0,0,1137.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,58.011,69.7424,69.742,10077.274,0,W31A100832,31.86,0,0,4640.786454371394,0,0,0,0,0,0,0,1137.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,58.302,69.7424,69.742,10007.532,0,W31A100832,31.86,0,0,504.6838684184411,0,0,0,0,0,0,0,1353.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,58.678,90.1692,90.169,9917.363,0,W31A100358,4.06,0,0,504.6838684184411,0,0,0,0,0,0,0,1353.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,60.152,353.73800000000006,353.738,9563.625,0,W31A101242,32.73,0,0,1091.913840560552,0,0,0,0,393.4164845917745,0,0,2985.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,67.695,1810.4864000000002,1810.486,7753.139,0,W31A101282,178.42,0,0,6173.9258844713395,0,0,0,0,717.3992521152934,0,0,910.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,67.84,34.838100000000004,34.838,7718.301,0,W31A100324,2.09,0,0,6173.9258844713395,0,0,0,0,717.3992521152934,0,0,910.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,67.878,9.0668,9.067,7709.234,0,W31A100453,0.49,0,0,6229.494285992985,0,0,0,0,7250.897636978759,0,0,830.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,68.1,53.2855,53.285,7655.949,0,W31A101221,2.9,0,0,6229.494285992985,0,0,0,0,10084.892436363081,0,0,111.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,68.144,10.402600000000001,10.403,7645.546,0,W31A100569,2.86,0,0,6229.494285992985,0,0,0,0,10084.892436363081,0,0,111.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,68.201,13.7484,13.748,7631.798,0,W31A100457,0.75,0,0,6173.9258844713395,0,0,0,0,1516.901506549864,0,0,420.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,71.053,684.4698000000001,684.47,6947.328,0,W31A100853,73.42,0,0,1347.2709089563514,0,0,0,0,0,0,0,2524.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,71.094,9.9807,9.981,6937.347,0,W31A100454,0.54,0,0,1347.2709089563514,0,0,0,0,0,0,0,2524.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,71.096,0.4997,0.5,6936.847,0,W31A100476,10.07,0,0,9617.285957249354,0,0,0,0,9368.989238639304,0,0,1671.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,72.011,219.3968,219.397,6717.45,0,W31A101217,11.34,0,0,6229.494285992985,0,0,0,0,11818.63719688569,0,0,793.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,72.231,52.801,52.801,6664.649,0,W31A100455,2.88,0,0,1347.2709089563514,0,0,0,0,0,0,0,2334.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,72.832,144.2534,144.253,6520.396,0,W31A101243,8.51,0,0,10682.022286134996,0,0,0,0,15462.432960678369,854.286000646032,0,3308.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,72.962,31.219200000000004,31.219,6489.177,0,W31A100602,3.21,0,0,8605.38288979371,0,0,0,0,7577.59806728351,4185.615279113661,0,2606.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,73.125,39.137,39.137,6450.04,0,W31A101211,14.16,0,0,10682.022286134996,0,0,0,0,4556.080425639057,854.286000646032,0,1528.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,73.944,196.70680000000002,196.707,6253.333,0,W31A100585,12.28,0,0,1347.2709089563514,0,0,0,0,0,0,0,2334.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,75.766,437.0659,437.066,5816.267,0,W31A101241,18.81,0,0,8605.38288979371,0,0,0,0,7608.959638750921,1228.5027113373467,0,2243.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,75.793,6.4855,6.486,5809.781,0,W31A101256,0.92,0,0,6173.9258844713395,0,0,0,0,3313.755667972061,0,0,357.0
84,Aliens,CBP-Pelleting,5,31.12328252520821,-27.73460048269427,24000,75.819,6.429600000000001,6.43,5803.351,0,W31A100715,0.74,0,0,8605.38288979371,0,0,0,0,7577.59806728351,4185.615279113661,0,2606.0
